2024-11-11 23:06:00.685 | WARNING  | dialogs.forecast:get_forecast:16 - City not found in dialog_data. Please check city_handler.
2024-11-11 23:06:19.797 | WARNING  | dialogs.forecast:get_forecast:16 - City not found in dialog_data. Please check city_handler.
2024-11-11 23:06:23.749 | WARNING  | dialogs.forecast:get_forecast:16 - City not found in dialog_data. Please check city_handler.
2024-11-11 23:07:16.400 | SUCCESS  | __main__:on_shutdown:18 - Бот остановлен
2024-11-11 23:07:16.656 | INFO     | __main__:<module>:44 - Работа программы принудительно завершена
2024-11-11 23:07:19.204 | SUCCESS  | __main__:on_startup:14 - Бот запущен
2024-11-11 23:07:27.447 | INFO     | dialogs.main:city_handler:15 - City received: london
2024-11-11 23:07:27.447 | WARNING  | dialogs.forecast:get_forecast:15 - City not found in dialog_data. Please check city_handler.
2024-11-11 23:10:57.070 | SUCCESS  | __main__:on_shutdown:18 - Бот остановлен
2024-11-11 23:10:57.339 | INFO     | __main__:<module>:44 - Работа программы принудительно завершена
2024-11-11 23:11:00.169 | SUCCESS  | __main__:on_startup:14 - Бот запущен
2024-11-11 23:11:19.703 | SUCCESS  | __main__:on_shutdown:18 - Бот остановлен
2024-11-11 23:11:19.970 | INFO     | __main__:<module>:44 - Работа программы принудительно завершена
2024-11-11 23:11:22.604 | SUCCESS  | __main__:on_startup:14 - Бот запущен
2024-11-11 23:11:27.211 | INFO     | dialogs.main:city_handler:16 - City received: london
2024-11-11 23:11:27.212 | INFO     | dialogs.forecast:get_forecast:14 - city in getter is None
2024-11-11 23:11:27.212 | WARNING  | dialogs.forecast:get_forecast:16 - City not found in dialog_data. Please check city_handler.
2024-11-11 23:14:22.779 | SUCCESS  | __main__:on_shutdown:18 - Бот остановлен
2024-11-11 23:14:23.038 | INFO     | __main__:<module>:44 - Работа программы принудительно завершена
2024-11-11 23:20:23.309 | SUCCESS  | __main__:on_startup:14 - Бот запущен
2024-11-11 23:20:35.363 | SUCCESS  | __main__:on_shutdown:18 - Бот остановлен
2024-11-11 23:21:13.829 | SUCCESS  | __main__:on_startup:14 - Бот запущен
2024-11-11 23:21:16.997 | INFO     | dialogs.main:city_handler:16 - City received: london
2024-11-11 23:21:16.997 | INFO     | dialogs.forecast:get_forecast:14 - city in getter is None
2024-11-11 23:21:16.997 | WARNING  | dialogs.forecast:get_forecast:16 - City not found in dialog_data. Please check city_handler.
2024-11-11 23:26:07.450 | SUCCESS  | __main__:on_shutdown:18 - Бот остановлен
2024-11-11 23:26:07.706 | INFO     | __main__:<module>:44 - Работа программы принудительно завершена
2024-11-11 23:26:10.413 | SUCCESS  | __main__:on_startup:14 - Бот запущен
2024-11-11 23:26:15.340 | INFO     | dialogs.main:city_handler:16 - City received: москва
2024-11-11 23:26:15.341 | INFO     | dialogs.forecast:get_forecast:14 - city in getter is None
2024-11-11 23:26:15.341 | WARNING  | dialogs.forecast:get_forecast:16 - City not found in dialog_data. Please check city_handler.
2024-11-11 23:26:26.639 | SUCCESS  | __main__:on_shutdown:18 - Бот остановлен
2024-11-11 23:26:26.892 | INFO     | __main__:<module>:44 - Работа программы принудительно завершена
2024-11-11 23:36:23.279 | SUCCESS  | __main__:on_startup:14 - Бот запущен
2024-11-11 23:36:28.501 | INFO     | dialogs.main:city_handler:16 - City received: moscow
2024-11-11 23:36:28.501 | INFO     | dialogs.forecast:get_forecast:14 - city in getter is None
2024-11-11 23:36:28.501 | WARNING  | dialogs.forecast:get_forecast:16 - City not found in dialog_data. Please check city_handler.
2024-11-11 23:37:13.644 | SUCCESS  | __main__:on_shutdown:18 - Бот остановлен
2024-11-11 23:37:13.907 | INFO     | __main__:<module>:44 - Работа программы принудительно завершена
2024-11-11 23:37:16.605 | SUCCESS  | __main__:on_startup:14 - Бот запущен
2024-11-11 23:37:26.555 | INFO     | dialogs.main:city_handler:16 - City received: new
2024-11-11 23:37:26.556 | INFO     | dialogs.forecast:get_forecast:14 - city in getter is None
2024-11-11 23:39:29.394 | SUCCESS  | __main__:on_shutdown:18 - Бот остановлен
2024-11-11 23:39:29.661 | INFO     | __main__:<module>:44 - Работа программы принудительно завершена
2024-11-11 23:41:39.899 | SUCCESS  | __main__:on_startup:14 - Бот запущен
2024-11-11 23:41:45.060 | INFO     | dialogs.main:city_handler:16 - City received: ml
2024-11-11 23:41:45.061 | INFO     | dialogs.forecast:get_forecast:14 - city in getter is {'city': 'ml'}
2024-11-11 23:41:45.061 | INFO     | dialogs.forecast:get_forecast:18 - Fetching weather for city in get_forecast: {'city': 'ml'}
2024-11-11 23:41:45.061 | INFO     | telegram_bot.parser:forecast_parser:7 - Fetching weather for city: {'city': 'ml'}
2024-11-11 23:42:06.775 | SUCCESS  | __main__:on_shutdown:18 - Бот остановлен
2024-11-11 23:42:07.041 | INFO     | __main__:<module>:44 - Работа программы принудительно завершена
2024-11-11 23:42:09.727 | SUCCESS  | __main__:on_startup:14 - Бот запущен
2024-11-11 23:42:13.841 | INFO     | dialogs.main:city_handler:16 - City received: moscow
2024-11-11 23:42:13.841 | INFO     | dialogs.forecast:get_forecast:14 - city in getter is dict_values(['moscow'])
2024-11-11 23:42:13.841 | INFO     | dialogs.forecast:get_forecast:18 - Fetching weather for city in get_forecast: dict_values(['moscow'])
2024-11-11 23:42:13.841 | INFO     | telegram_bot.parser:forecast_parser:7 - Fetching weather for city: dict_values(['moscow'])
2024-11-11 23:42:39.492 | SUCCESS  | __main__:on_shutdown:18 - Бот остановлен
2024-11-11 23:42:39.749 | INFO     | __main__:<module>:44 - Работа программы принудительно завершена
2024-11-11 23:42:42.392 | SUCCESS  | __main__:on_startup:14 - Бот запущен
2024-11-11 23:42:46.758 | INFO     | dialogs.main:city_handler:16 - City received: moscow
2024-11-11 23:42:46.758 | INFO     | dialogs.forecast:get_forecast:14 - city in getter is moscow
2024-11-11 23:42:46.759 | INFO     | dialogs.forecast:get_forecast:18 - Fetching weather for city in get_forecast: moscow
2024-11-11 23:42:46.759 | INFO     | telegram_bot.parser:forecast_parser:7 - Fetching weather for city: moscow
